Tipo de Mapa;Clave;Presencia;Factor de Carga;Tiempo
Double Hashing;Username;No almacenados;0.0474181;0.680126
STL;Username;Almacenados;0.0474181;0.193787
STL;Username;No almacenados;0.0474181;1.99868
Hashing Encadenado;Username;Almacenados;0.0948362;0.224942
Hashing Encadenado;Username;No almacenados;0.0948362;0.338174
Linear Probing;Username;Almacenados;0.0948362;0.352647
Linear Probing;Username;No almacenados;0.0948362;0.526564
Cuadratic Probing;Username;Almacenados;0.0948362;0.349056
Cuadratic Probing;Username;No almacenados;0.0948362;0.601607
Double Hashing;Username;Almacenados;0.0948362;0.399306
Double Hashing;Username;No almacenados;0.0948362;0.655451
STL;Username;Almacenados;0.0948362;0.245565
STL;Username;No almacenados;0.0948362;1.9024
Hashing Encadenado;Username;Almacenados;0.142254;0.237245
Hashing Encadenado;Username;No almacenados;0.142254;0.31925
Linear Probing;Username;Almacenados;0.142254;0.356373
Linear Probing;Username;No almacenados;0.142254;0.532067
Cuadratic Probing;Username;Almacenados;0.142254;0.403556
Cuadratic Probing;Username;No almacenados;0.142254;0.559543
Double Hashing;Username;Almacenados;0.142254;0.447157
Double Hashing;Username;No almacenados;0.142254;0.666844
STL;Username;Almacenados;0.142254;0.1985
STL;Username;No almacenados;0.142254;1.94373
Hashing Encadenado;Username;Almacenados;0.189672;0.219663
Hashing Encadenado;Username;No almacenados;0.189672;0.318791
Linear Probing;Username;Almacenados;0.189672;0.367248
Linear Probing;Username;No almacenados;0.189672;0.537884
Cuadratic Probing;Username;Almacenados;0.189672;0.358867
Cuadratic Probing;Username;No almacenados;0.189672;0.54236
Double Hashing;Username;Almacenados;0.189672;0.409405
Double Hashing;Username;No almacenados;0.189672;0.736964
STL;Username;Almacenados;0.189672;0.203768
STL;Username;No almacenados;0.189672;1.95531
Hashing Encadenado;Username;Almacenados;0.23709;0.228328
Hashing Encadenado;Username;No almacenados;0.23709;0.320127
Linear Probing;Username;Almacenados;0.23709;0.440604
Linear Probing;Username;No almacenados;0.23709;0.630125
Cuadratic Probing;Username;Almacenados;0.23709;0.374802
Cuadratic Probing;Username;No almacenados;0.23709;0.593766
Double Hashing;Username;Almacenados;0.23709;0.463387
Double Hashing;Username;No almacenados;0.23709;0.736172
STL;Username;Almacenados;0.23709;0.214548
STL;Username;No almacenados;0.23709;1.9921
Hashing Encadenado;Username;Almacenados;0.284509;0.223062
Hashing Encadenado;Username;No almacenados;0.284509;0.317614
Linear Probing;Username;Almacenados;0.284509;0.374302
Linear Probing;Username;No almacenados;0.284509;0.561625
Cuadratic Probing;Username;Almacenados;0.284509;0.431519
Cuadratic Probing;Username;No almacenados;0.284509;0.605139
Double Hashing;Username;Almacenados;0.284509;0.428397
Double Hashing;Username;No almacenados;0.284509;0.786133
STL;Username;Almacenados;0.284509;0.204349
STL;Username;No almacenados;0.284509;1.92767
Hashing Encadenado;Username;Almacenados;0.331927;0.223496
Hashing Encadenado;Username;No almacenados;0.331927;0.343477
Linear Probing;Username;Almacenados;0.331927;0.373766
Linear Probing;Username;No almacenados;0.331927;0.572636
Cuadratic Probing;Username;Almacenados;0.331927;0.380632
Cuadratic Probing;Username;No almacenados;0.331927;0.619504
Double Hashing;Username;Almacenados;0.331927;0.43016
Double Hashing;Username;No almacenados;0.331927;0.724943
STL;Username;Almacenados;0.331927;0.210824
STL;Username;No almacenados;0.331927;1.93988
Hashing Encadenado;Username;Almacenados;0.379345;0.23424
Hashing Encadenado;Username;No almacenados;0.379345;0.332544
Linear Probing;Username;Almacenados;0.379345;0.386143
Linear Probing;Username;No almacenados;0.379345;0.600271
Cuadratic Probing;Username;Almacenados;0.379345;0.381546
Cuadratic Probing;Username;No almacenados;0.379345;0.636883
Double Hashing;Username;Almacenados;0.379345;0.427607
Double Hashing;Username;No almacenados;0.379345;0.728958
STL;Username;Almacenados;0.379345;0.21207
STL;Username;No almacenados;0.379345;1.91197
Hashing Encadenado;Username;Almacenados;0.426763;0.223764
Hashing Encadenado;Username;No almacenados;0.426763;0.323558
Linear Probing;Username;Almacenados;0.426763;0.385145
Linear Probing;Username;No almacenados;0.426763;0.599459
Cuadratic Probing;Username;Almacenados;0.426763;0.392526
Cuadratic Probing;Username;No almacenados;0.426763;0.605103
Double Hashing;Username;Almacenados;0.426763;0.427368
Double Hashing;Username;No almacenados;0.426763;0.760074
STL;Username;Almacenados;0.426763;0.234753
STL;Username;No almacenados;0.426763;1.93909
Hashing Encadenado;Username;Almacenados;0.474181;0.227046
Hashing Encadenado;Username;No almacenados;0.474181;0.366034
Linear Probing;Username;Almacenados;0.474181;0.391808
Linear Probing;Username;No almacenados;0.474181;0.688294
Cuadratic Probing;Username;Almacenados;0.474181;0.40878
Cuadratic Probing;Username;No almacenados;0.474181;0.704109
Double Hashing;Username;Almacenados;0.474181;0.430683
Double Hashing;Username;No almacenados;0.474181;0.73683
STL;Username;Almacenados;0.474181;0.213618
STL;Username;No almacenados;0.474181;2.02538
Hashing Encadenado;Username;Almacenados;0.521599;0.263594
Hashing Encadenado;Username;No almacenados;0.521599;0.324736
Linear Probing;Username;Almacenados;0.521599;0.400604
Linear Probing;Username;No almacenados;0.521599;0.64623
Cuadratic Probing;Username;Almacenados;0.521599;0.644731
Cuadratic Probing;Username;No almacenados;0.521599;0.701405
Double Hashing;Username;Almacenados;0.521599;0.441893
Double Hashing;Username;No almacenados;0.521599;0.836036
STL;Username;Almacenados;0.521599;0.208037
STL;Username;No almacenados;0.521599;1.97928
Hashing Encadenado;Username;Almacenados;0.569017;0.23003
Hashing Encadenado;Username;No almacenados;0.569017;0.326803
Linear Probing;Username;Almacenados;0.569017;0.404788
Linear Probing;Username;No almacenados;0.569017;0.697891
Cuadratic Probing;Username;Almacenados;0.569017;0.402579
Cuadratic Probing;Username;No almacenados;0.569017;0.723462
Double Hashing;Username;Almacenados;0.569017;0.436578
Double Hashing;Username;No almacenados;0.569017;0.765955
STL;Username;Almacenados;0.569017;0.246218
STL;Username;No almacenados;0.569017;1.95814
Hashing Encadenado;Username;Almacenados;0.616435;0.230923
Hashing Encadenado;Username;No almacenados;0.616435;0.363968
Linear Probing;Username;Almacenados;0.616435;0.425348
Linear Probing;Username;No almacenados;0.616435;0.720826
Cuadratic Probing;Username;Almacenados;0.616435;0.471127
Cuadratic Probing;Username;No almacenados;0.616435;0.726328
Double Hashing;Username;Almacenados;0.616435;0.452489
Double Hashing;Username;No almacenados;0.616435;0.774425
STL;Username;Almacenados;0.616435;0.214177
STL;Username;No almacenados;0.616435;1.89023
Hashing Encadenado;Username;Almacenados;0.663853;0.229419
Hashing Encadenado;Username;No almacenados;0.663853;0.333177
Linear Probing;Username;Almacenados;0.663853;0.444075
Linear Probing;Username;No almacenados;0.663853;0.840321
Cuadratic Probing;Username;Almacenados;0.663853;0.485308
Cuadratic Probing;Username;No almacenados;0.663853;0.771213
Double Hashing;Username;Almacenados;0.663853;0.497963
Double Hashing;Username;No almacenados;0.663853;0.844933
STL;Username;Almacenados;0.663853;0.245722
STL;Username;No almacenados;0.663853;1.96471
Hashing Encadenado;Username;Almacenados;0.711271;0.237189
Hashing Encadenado;Username;No almacenados;0.711271;0.330308
Linear Probing;Username;Almacenados;0.711271;0.447538
Linear Probing;Username;No almacenados;0.711271;0.887617
Cuadratic Probing;Username;Almacenados;0.711271;0.466405
Cuadratic Probing;Username;No almacenados;0.711271;0.838418
Double Hashing;Username;Almacenados;0.711271;0.477576
Double Hashing;Username;No almacenados;0.711271;0.855055
STL;Username;Almacenados;0.711271;0.223862
STL;Username;No almacenados;0.711271;1.98574
Hashing Encadenado;Username;Almacenados;0.758689;0.234887
Hashing Encadenado;Username;No almacenados;0.758689;0.331238
Linear Probing;Username;Almacenados;0.758689;0.510529
Linear Probing;Username;No almacenados;0.758689;0.918436
Cuadratic Probing;Username;Almacenados;0.758689;0.485653
Cuadratic Probing;Username;No almacenados;0.758689;0.904941
Double Hashing;Username;Almacenados;0.758689;0.471714
Double Hashing;Username;No almacenados;0.758689;0.882819
STL;Username;Almacenados;0.758689;0.25828
STL;Username;No almacenados;0.758689;1.9709
Hashing Encadenado;Username;Almacenados;0.806107;0.242765
Hashing Encadenado;Username;No almacenados;0.806107;0.352297
Linear Probing;Username;Almacenados;0.806107;0.503113
Linear Probing;Username;No almacenados;0.806107;1.08472
Cuadratic Probing;Username;Almacenados;0.806107;0.529046
Cuadratic Probing;Username;No almacenados;0.806107;1.06658
Double Hashing;Username;Almacenados;0.806107;0.504759
Double Hashing;Username;No almacenados;0.806107;0.975584
STL;Username;Almacenados;0.806107;0.31166
STL;Username;No almacenados;0.806107;1.94895
Hashing Encadenado;Username;Almacenados;0.853526;0.241576
Hashing Encadenado;Username;No almacenados;0.853526;0.348961
Linear Probing;Username;Almacenados;0.853526;0.533057
Linear Probing;Username;No almacenados;0.853526;1.31639
Cuadratic Probing;Username;Almacenados;0.853526;0.527901
Cuadratic Probing;Username;No almacenados;0.853526;1.22984
Double Hashing;Username;Almacenados;0.853526;0.506475
Double Hashing;Username;No almacenados;0.853526;1.0415
STL;Username;Almacenados;0.853526;0.226404
STL;Username;No almacenados;0.853526;1.91762
Hashing Encadenado;Username;Almacenados;0.900944;0.241408
Hashing Encadenado;Username;No almacenados;0.900944;0.341034
Linear Probing;Username;Almacenados;0.900944;0.574064
Linear Probing;Username;No almacenados;0.900944;1.56709
Cuadratic Probing;Username;Almacenados;0.900944;0.55953
Cuadratic Probing;Username;No almacenados;0.900944;1.43908
Double Hashing;Username;Almacenados;0.900944;0.564486
Double Hashing;Username;No almacenados;0.900944;1.2137
STL;Username;Almacenados;0.900944;0.22879
STL;Username;No almacenados;0.900944;2.00536
Hashing Encadenado;Username;Almacenados;0.948362;0.245639
Hashing Encadenado;Username;No almacenados;0.948362;0.34481
Linear Probing;Username;Almacenados;0.948362;0.608863
Linear Probing;Username;No almacenados;0.948362;2.00846
Cuadratic Probing;Username;Almacenados;0.948362;0.627639
Cuadratic Probing;Username;No almacenados;0.948362;1.91015
Double Hashing;Username;Almacenados;0.948362;0.550211
Double Hashing;Username;No almacenados;0.948362;1.44243
STL;Username;Almacenados;0.948362;0.260499
STL;Username;No almacenados;0.948362;1.96513
Hashing Encadenado;Username;Almacenados;0.999099;0.237348
Hashing Encadenado;Username;No almacenados;0.999099;0.34078
Linear Probing;Username;Almacenados;0.999099;0.672226
Linear Probing;Username;No almacenados;0.999099;3.29139
Cuadratic Probing;Username;Almacenados;0.999099;0.66694
Cuadratic Probing;Username;No almacenados;0.999099;2.95464
Double Hashing;Username;Almacenados;0.999099;0.572721
Double Hashing;Username;No almacenados;0.999099;2.08642
STL;Username;Almacenados;0.999099;0.230612
STL;Username;No almacenados;0.999099;1.9214
Hashing Encadenado;UserID;Almacenados;0.0474181;0.085811
Hashing Encadenado;UserID;No almacenados;0.0474181;0.112643
Linear Probing;UserID;Almacenados;0.0474181;0.185785
Linear Probing;UserID;No almacenados;0.0474181;0.270313
Cuadratic Probing;UserID;Almacenados;0.0474181;0.181995
Cuadratic Probing;UserID;No almacenados;0.0474181;0.252375
Double Hashing;UserID;Almacenados;0.0474181;0.181502
Double Hashing;UserID;No almacenados;0.0474181;0.2039
STL;UserID;Almacenados;0.0474181;0.172474
STL;UserID;No almacenados;0.0474181;1.99904
Hashing Encadenado;UserID;Almacenados;0.0948362;0.087608
Hashing Encadenado;UserID;No almacenados;0.0948362;0.106177
Linear Probing;UserID;Almacenados;0.0948362;0.195731
Linear Probing;UserID;No almacenados;0.0948362;0.27609
Cuadratic Probing;UserID;Almacenados;0.0948362;0.1911
Cuadratic Probing;UserID;No almacenados;0.0948362;0.380527
Double Hashing;UserID;Almacenados;0.0948362;0.146002
Double Hashing;UserID;No almacenados;0.0948362;0.217087
STL;UserID;Almacenados;0.0948362;0.210769
STL;UserID;No almacenados;0.0948362;2.067
Hashing Encadenado;UserID;Almacenados;0.142254;0.090668
Hashing Encadenado;UserID;No almacenados;0.142254;0.141769
Linear Probing;UserID;Almacenados;0.142254;0.203137
Linear Probing;UserID;No almacenados;0.142254;0.283826
