Tipo de Mapa;Clave;Número de Elementos;Tiempo
Separate Chaining;UserID;14000;2.51013
Linear Probing;UserID;14000;4.87846
Quadratic Probing;UserID;14000;4.99048
Double Hashing;UserID;14000;5.05474
STL;UserID;14000;5.23276
Separate Chaining;UserID;15000;2.64023
Linear Probing;UserID;15000;5.37201
Quadratic Probing;UserID;15000;5.32881
Double Hashing;UserID;15000;5.39048
STL;UserID;15000;5.62956
Separate Chaining;UserID;16000;2.82219
Linear Probing;UserID;16000;5.86218
Quadratic Probing;UserID;16000;5.85114
Double Hashing;UserID;16000;6.03401
STL;UserID;16000;6.02748
Separate Chaining;UserID;17000;3.18564
Linear Probing;UserID;17000;6.79547
Quadratic Probing;UserID;17000;6.60311
Double Hashing;UserID;17000;6.52793
STL;UserID;17000;6.58318
Separate Chaining;UserID;18000;3.29592
Linear Probing;UserID;18000;7.06611
Quadratic Probing;UserID;18000;7.01454
Double Hashing;UserID;18000;7.05929
STL;UserID;18000;6.76089
Separate Chaining;UserID;19000;3.44637
Linear Probing;UserID;19000;7.68541
Quadratic Probing;UserID;19000;7.8018
Double Hashing;UserID;19000;7.82624
STL;UserID;19000;7.0592
Separate Chaining;UserID;20000;3.6635
Linear Probing;UserID;20000;8.57286
Quadratic Probing;UserID;20000;8.6218
Double Hashing;UserID;20000;8.49682
STL;UserID;20000;7.39322
Separate Chaining;UserID;21070;3.87697
Linear Probing;UserID;21070;9.77314
Quadratic Probing;UserID;21070;9.57698
Double Hashing;UserID;21070;9.43789
STL;UserID;21070;7.76352
Separate Chaining;Username;1000;0.336401
Linear Probing;Username;1000;0.481724
Quadratic Probing;Username;1000;0.440594
Double Hashing;Username;1000;0.519395
STL;Username;1000;0.409502
Separate Chaining;Username;2000;0.702668
Linear Probing;Username;2000;0.940068
Quadratic Probing;Username;2000;0.922168
Double Hashing;Username;2000;1.13592
STL;Username;2000;0.65299
Separate Chaining;Username;3000;0.958053
Linear Probing;Username;3000;1.5652
Quadratic Probing;Username;3000;1.3952
Double Hashing;Username;3000;1.65909
STL;Username;3000;1.08674
Separate Chaining;Username;4000;1.3411
Linear Probing;Username;4000;1.94717
Quadratic Probing;Username;4000;1.87279
Double Hashing;Username;4000;2.29252
STL;Username;4000;1.35689
Separate Chaining;Username;5000;1.67321
Linear Probing;Username;5000;2.43338
Quadratic Probing;Username;5000;2.48435
Double Hashing;Username;5000;2.96019
STL;Username;5000;1.65632
Separate Chaining;Username;6000;1.89154
Linear Probing;Username;6000;3.07841
Quadratic Probing;Username;6000;3.01865
Double Hashing;Username;6000;3.63704
STL;Username;6000;2.10767
Separate Chaining;Username;7000;2.29874
Linear Probing;Username;7000;3.49907
Quadratic Probing;Username;7000;3.58219
Double Hashing;Username;7000;4.33013
STL;Username;7000;2.48537
Separate Chaining;Username;8000;2.58408
Linear Probing;Username;8000;4.14809
Quadratic Probing;Username;8000;4.12132
Double Hashing;Username;8000;4.97828
STL;Username;8000;2.78025
Separate Chaining;Username;9000;2.88568
Linear Probing;Username;9000;4.65776
Quadratic Probing;Username;9000;4.69337
Double Hashing;Username;9000;5.72821
STL;Username;9000;3.16497
Separate Chaining;Username;10000;3.14171
Linear Probing;Username;10000;5.17757
Quadratic Probing;Username;10000;5.16046
Double Hashing;Username;10000;6.38264
STL;Username;10000;3.40123
Separate Chaining;Username;11000;3.47342
Linear Probing;Username;11000;5.87166
Quadratic Probing;Username;11000;5.79676
Double Hashing;Username;11000;7.08585
STL;Username;11000;4.01262
Separate Chaining;Username;12000;3.85936
Linear Probing;Username;12000;6.25689
Quadratic Probing;Username;12000;6.30779
Double Hashing;Username;12000;7.69816
STL;Username;12000;4.69901
Separate Chaining;Username;13000;4.1509
Linear Probing;Username;13000;7.0489
Quadratic Probing;Username;13000;7.03628
Double Hashing;Username;13000;8.42569
STL;Username;13000;4.59742
Separate Chaining;Username;14000;4.51244
Linear Probing;Username;14000;7.43532
Quadratic Probing;Username;14000;7.61752
Double Hashing;Username;14000;9.09544
STL;Username;14000;4.96355
Separate Chaining;Username;15000;4.79828
Linear Probing;Username;15000;8.39227
Quadratic Probing;Username;15000;8.35201
Double Hashing;Username;15000;10.0198
STL;Username;15000;5.29576
Separate Chaining;Username;16000;5.07138
Linear Probing;Username;16000;8.88851
Quadratic Probing;Username;16000;8.67762
Double Hashing;Username;16000;10.565
STL;Username;16000;5.56298
Separate Chaining;Username;17000;5.41969
Linear Probing;Username;17000;9.40885
Quadratic Probing;Username;17000;9.61812
Double Hashing;Username;17000;11.6259
STL;Username;17000;5.91373
Separate Chaining;Username;18000;5.76275
Linear Probing;Username;18000;10.201
Quadratic Probing;Username;18000;10.1583
Double Hashing;Username;18000;12.1292
STL;Username;18000;6.24548
Separate Chaining;Username;19000;6.15402
Linear Probing;Username;19000;11.3643
Quadratic Probing;Username;19000;11.3755
Double Hashing;Username;19000;13.4241
STL;Username;19000;6.64314
Separate Chaining;Username;20000;6.40555
Linear Probing;Username;20000;12.3415
Quadratic Probing;Username;20000;12.4513
Double Hashing;Username;20000;14.6317
STL;Username;20000;6.98091
Separate Chaining;Username;21070;6.85161
Linear Probing;Username;21070;13.9896
Quadratic Probing;Username;21070;13.7748
Double Hashing;Username;21070;16.384
STL;Username;21070;7.48797
Separate Chaining;UserID;1000;0.20088
Linear Probing;UserID;1000;0.302052
Quadratic Probing;UserID;1000;0.266742
Double Hashing;UserID;1000;0.250262
STL;UserID;1000;0.346993
Separate Chaining;UserID;2000;0.417612
Linear Probing;UserID;2000;0.723502
Quadratic Probing;UserID;2000;0.614587
Double Hashing;UserID;2000;0.520222
STL;UserID;2000;0.701024
Separate Chaining;UserID;3000;0.557187
Linear Probing;UserID;3000;1.06928
Quadratic Probing;UserID;3000;0.91696
Double Hashing;UserID;3000;0.853676
STL;UserID;3000;1.09558
Separate Chaining;UserID;4000;0.786544
Linear Probing;UserID;4000;1.27709
Quadratic Probing;UserID;4000;1.18195
Double Hashing;UserID;4000;1.178
STL;UserID;4000;1.39761
Separate Chaining;UserID;5000;0.990641
Linear Probing;UserID;5000;1.60996
Quadratic Probing;UserID;5000;1.63749
Double Hashing;UserID;5000;1.43059
STL;UserID;5000;1.75205
Separate Chaining;UserID;6000;1.05282
Linear Probing;UserID;6000;1.99781
Quadratic Probing;UserID;6000;1.87122
Double Hashing;UserID;6000;1.90256
STL;UserID;6000;2.26892
Separate Chaining;UserID;7000;1.24279
Linear Probing;UserID;7000;2.37177
Quadratic Probing;UserID;7000;2.44886
Double Hashing;UserID;7000;2.20614
STL;UserID;7000;2.63367
Separate Chaining;UserID;8000;1.42757
Linear Probing;UserID;8000;2.71228
Quadratic Probing;UserID;8000;2.68701
Double Hashing;UserID;8000;2.60401
STL;UserID;8000;2.97539
Separate Chaining;UserID;9000;1.58817
Linear Probing;UserID;9000;3.06911
Quadratic Probing;UserID;9000;3.07305
Double Hashing;UserID;9000;3.03029
STL;UserID;9000;3.25784
Separate Chaining;UserID;10000;1.76271
Linear Probing;UserID;10000;3.4029
Quadratic Probing;UserID;10000;3.45563
Double Hashing;UserID;10000;3.49777
STL;UserID;10000;3.67306
Separate Chaining;UserID;11000;1.94145
Linear Probing;UserID;11000;3.79979
Quadratic Probing;UserID;11000;3.79515
Double Hashing;UserID;11000;3.85854
STL;UserID;11000;4.37753
Separate Chaining;UserID;12000;2.17991
Linear Probing;UserID;12000;4.18636
Quadratic Probing;UserID;12000;4.17387
Double Hashing;UserID;12000;4.21808
STL;UserID;12000;4.70821
Separate Chaining;UserID;13000;2.37012
Linear Probing;UserID;13000;4.6153
Quadratic Probing;UserID;13000;4.74222
Double Hashing;UserID;13000;4.63657
STL;UserID;13000;5.02495
Separate Chaining;UserID;14000;2.47513
Linear Probing;UserID;14000;4.97272
Quadratic Probing;UserID;14000;4.96532
Double Hashing;UserID;14000;5.03598
